# Range [m];Height [m];Real(p) [Pa];Imag(p) [Pa]
1.000000000000000000e+04;4.478227039254991723e+03;3.541451745599409292e-04;-5.345168115146768173e-04
1.000000000000000000e+04;4.479815071531517788e+03;3.502669951621206344e-04;-5.354652375242982413e-04
1.000000000000000000e+04;4.527178052572167871e+03;2.471623791259136495e-04;-5.925012640280141307e-04
1.000000000000000000e+04;4.528766161790055776e+03;2.433569955239647700e-04;-5.927165454313798251e-04
1.000000000000000000e+04;4.576129032933421513e+03;1.335277864724831239e-04;-6.283986501274420712e-04
1.000000000000000000e+04;4.577717180205976547e+03;1.295131442506585286e-04;-6.278586850797018620e-04
1.000000000000000000e+04;4.625080048748230183e+03;9.235196079936045915e-06;-6.409377462075958832e-04
1.000000000000000000e+04;4.626668190856735237e+03;5.626523389654331547e-06;-6.397803090800084982e-04
1.000000000000000000e+04;4.674031126878318901e+03;-1.095945978546014859e-04;-6.306170479850228393e-04
1.000000000000000000e+04;4.675619236537277175e+03;-1.133015956209962414e-04;-6.285967042382193185e-04
1.000000000000000000e+04;4.722982248049153895e+03;-2.308220281115514101e-04;-5.959475941687373147e-04
1.000000000000000000e+04;4.724570351596393266e+03;-2.336757816577886271e-04;-5.934976693026700490e-04
1.000000000000000000e+04;4.771933325109200268e+03;-3.402053485303458595e-04;-5.373671882481902227e-04
1.000000000000000000e+04;4.773521475046716660e+03;-3.429140676731333632e-04;-5.341565627290210819e-04
1.000000000000000000e+04;4.820884305193229011e+03;-4.403959235283333982e-04;-4.597844943877237673e-04
1.000000000000000000e+04;4.822472506122050618e+03;-4.420842208581417026e-04;-4.562251720700292762e-04
1.000000000000000000e+04;4.869835264256347727e+03;-5.201401143225623663e-04;-3.627539625198274598e-04
1.000000000000000000e+04;4.871423401397832095e+03;-5.214704142449084557e-04;-3.588452002908998025e-04
1.000000000000000000e+04;4.918786364448416862e+03;-5.825646133869595393e-04;-2.488444986964424496e-04
1.000000000000000000e+04;4.920374389689452073e+03;-5.826614974943336491e-04;-2.447726020246700587e-04
1.000000000000000000e+04;4.967737490476421044e+03;-6.216964432753406197e-04;-1.293249205864421705e-04
1.000000000000000000e+04;4.969325465852868547e+03;-6.213419584699500812e-04;-1.251081419873800466e-04
1.000000000000000000e+04;5.016688563221488948e+03;-6.327118717991429614e-04;-7.544444619688076519e-08
1.000000000000000000e+04;5.018276567708998300e+03;-6.312876868362225693e-04;3.792986907764764008e-06
1.000000000000000000e+04;5.065639563778046977e+03;-6.196848582753597574e-04;1.289948553928665703e-04
1.000000000000000000e+04;5.067227600680947035e+03;-6.175925974630607201e-04;1.326774358008086792e-04
1.000000000000000000e+04;5.114590570339520127e+03;-5.805032586174872430e-04;2.517761537361748285e-04
1.000000000000000000e+04;5.116178596013252900e+03;-5.775761642285452604e-04;2.549764582557332931e-04
